Subject,RT,AVloc
1,1.14038428621451,1
2,1.63980872714051,1
3,2.2525243144567,1
4,1.10822487031533,1
5,1.68382519234226,1
6,1.31598510846227,1
7,1.45091983353857,1
8,1.23642391966529,1
9,2.42629418518098,1
10,1.69817024210934,1
11,1.6608395205853,1
12,1.22971596220212,1
13,1.52984486837575,1
14,1.33642963184816,1
15,1.11089958145431,1
16,1.67700106760656,1
17,1.23564058381651,1
18,1.05523637278132,1
19,0.986303097654176,1
20,1.20078108618036,1
21,0.782763931923546,1
1,1.5017118540526,2
2,2.36625882764587,2
3,2.33859551799084,2
4,1.0704918865181,2
5,1.79941812820866,2
6,1.37512665995684,2
7,1.37672846995993,2
8,1.28792662242028,2
9,2.54744167465085,2
10,1.74013286430189,2
11,1.6955776797383,2
12,1.3535355447725,2
13,1.2987946590575,2
14,1.41008875577494,2
15,1.17252156396031,2
16,1.60176558920648,2
17,1.25940424536072,2
18,0.959650588388156,2
19,1.11125698049021,2
20,1.14921290756403,2
21,0.70248555555341,2
1,1.1925598162304,3
2,1.87880865269302,3
3,2.25403034078966,3
4,0.988746701848383,3
5,1.59769958396597,3
6,1.38212298253493,3
7,1.41081110702653,3
8,1.13279412900253,3
9,2.4285174856137,3
10,1.57646028114638,3
11,1.575517810983,3
12,1.29701998652114,3
13,1.20413968701614,3
14,1.45771909626977,3
15,1.2247746783949,3
16,1.46792466861273,3
17,1.27222293508821,3
18,0.975157582241809,3
19,0.953377480319856,3
20,1.0711571243514,3
21,0.695166073541623,3
1,1.16591179005003,4
2,2.39518575778621,4
3,2.16296852291229,4
4,1.13744022498306,4
5,1.82516901660045,4
6,1.38503402146099,4
7,1.53969993053304,4
8,1.16151676483319,4
9,2.4462880675365,4
10,1.770938447181,4
11,1.47582051383714,4
12,1.05321456777331,4
13,1.47771969851372,4
14,1.28737731714001,4
15,1.21602714472018,4
16,1.55248741997472,4
17,1.22675203258737,4
18,1.10339325549347,4
19,1.1615009221714,4
20,1.13679929946416,4
21,0.7891517046839,4
1,1.21880651576641,5
2,2.67796679115829,5
3,2.09039610339525,5
4,1.20222780011398,5
5,1.69610191287571,5
6,1.24085149986112,5
7,1.36308216703933,5
8,1.27367274011363,5
9,2.46093756409092,5
10,1.58884308489873,5
11,1.6554974217893,5
12,1.17738475146899,5
13,1.23737084711902,5
14,1.35108140746658,5
15,1.19242447781818,5
16,1.54506936038256,5
17,1.19751559734822,5
18,1.01307437310155,5
19,1.08705030575664,5
20,0.951999422052483,5
21,0.747407577574057,5
